Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2010-07-12,145.18995666503906,149.47996520996094,145.0099639892578,148.0399627685547,140.34286499023438,537100,ADANIPORTS.BO
2010-07-13,148.21995544433594,151.97996520996094,148.21995544433594,151.11996459960938,143.26271057128906,559945,ADANIPORTS.BO
2010-07-14,151.59996032714844,152.67996215820312,148.99996948242188,149.9199676513672,142.12510681152344,3804835,ADANIPORTS.BO
2010-07-15,150.39996337890625,151.19996643066406,148.60997009277344,148.97996520996094,141.23397827148438,161115,ADANIPORTS.BO
2010-07-16,149.81996154785156,151.99996948242188,149.81996154785156,150.93995666503906,143.0920867919922,447680,ADANIPORTS.BO
2010-07-19,149.99996948242188,152.98995971679688,148.49996948242188,149.54995727539062,141.77435302734375,349485,ADANIPORTS.BO
2010-07-20,149.8299560546875,151.3799591064453,146.01995849609375,146.73995971679688,139.11044311523438,197855,ADANIPORTS.BO
2010-07-21,146.99996948242188,148.73995971679688,146.19996643066406,146.4599609375,138.84503173828125,252125,ADANIPORTS.BO
2010-07-22,147.52996826171875,147.52996826171875,143.60997009277344,145.4099578857422,137.849609375,360555,ADANIPORTS.BO
2010-07-23,146.02996826171875,146.99996948242188,144.4099578857422,145.2599639892578,137.70741271972656,367295,ADANIPORTS.BO
2010-07-26,146.39996337890625,146.49996948242188,144.44996643066406,145.2599639892578,137.70741271972656,327010,ADANIPORTS.BO
2010-07-27,146.59996032714844,146.59996032714844,144.0399627685547,145.11996459960938,137.57470703125,185330,ADANIPORTS.BO
2010-07-28,144.39996337890625,145.97996520996094,144.30996704101562,144.67996215820312,137.15757751464844,85750,ADANIPORTS.BO
2010-07-29,144.59996032714844,145.39996337890625,143.79995727539062,144.4099578857422,136.90159606933594,216840,ADANIPORTS.BO
2010-07-30,144.8799591064453,147.3799591064453,144.27996826171875,144.8899688720703,137.3566436767578,149445,ADANIPORTS.BO
2010-08-02,145.5799560546875,148.93995666503906,145.2099609375,148.17996215820312,140.47557067871094,404060,ADANIPORTS.BO
2010-08-03,148.79995727539062,150.35997009277344,148.29995727539062,148.7099609375,140.97802734375,354650,ADANIPORTS.BO
2010-08-04,149.3399658203125,152.84996032714844,149.3399658203125,150.81996154785156,142.97833251953125,1152045,ADANIPORTS.BO
2010-08-05,151.7599639892578,155.79995727539062,151.04995727539062,154.14996337890625,146.13519287109375,1105710,ADANIPORTS.BO
2010-08-06,155.11996459960938,157.6599578857422,154.6599578857422,156.55996704101562,148.41989135742188,608970,ADANIPORTS.BO
2010-08-09,156.19996643066406,159.39996337890625,156.19996643066406,157.68995666503906,150.937255859375,311525,ADANIPORTS.BO
2010-08-10,158.22996520996094,163.99996948242188,158.09996032714844,162.8799591064453,155.90496826171875,1118610,ADANIPORTS.BO
2010-08-11,163.6299591064453,163.98995971679688,158.19996643066406,159.05996704101562,152.24859619140625,459695,ADANIPORTS.BO
2010-08-12,157.49996948242188,161.0799560546875,156.49996948242188,159.6699676513672,152.83248901367188,311635,ADANIPORTS.BO
2010-08-13,160.19996643066406,166.36996459960938,158.69996643066406,159.6399688720703,152.8037567138672,1418295,ADANIPORTS.BO
2010-08-16,160.99996948242188,161.19996643066406,157.02996826171875,158.67996215820312,151.88485717773438,561965,ADANIPORTS.BO
2010-08-17,158.99996948242188,160.54995727539062,157.19996643066406,157.97996520996094,151.21484375,229045,ADANIPORTS.BO
2010-08-18,157.99996948242188,159.19996643066406,157.19996643066406,157.44996643066406,150.70753479003906,133910,ADANIPORTS.BO
2010-08-19,158.59996032714844,162.17996215820312,157.4199676513672,159.67996215820312,152.84202575683594,415445,ADANIPORTS.BO
2010-08-20,159.19996643066406,160.97996520996094,159.19996643066406,160.36996459960938,153.5024871826172,181675,ADANIPORTS.BO
2010-08-23,160.39996337890625,165.69996643066406,160.39996337890625,162.97996520996094,156.000732421875,504665,ADANIPORTS.BO
2010-08-24,163.19996643066406,164.97996520996094,159.79995727539062,160.2599639892578,153.397216796875,396840,ADANIPORTS.BO
2010-08-25,159.99996948242188,161.0899658203125,157.61996459960938,159.11996459960938,152.30599975585938,178275,ADANIPORTS.BO
2010-08-26,158.99996948242188,160.55996704101562,158.23995971679688,158.8299560546875,152.02842712402344,116410,ADANIPORTS.BO
2010-08-27,159.59996032714844,159.59996032714844,152.2599639892578,153.79995727539062,147.2138214111328,234740,ADANIPORTS.BO
2010-08-30,154.99996948242188,158.9599609375,152.09996032714844,152.93995666503906,146.39065551757812,357350,ADANIPORTS.BO
2010-08-31,153.09996032714844,154.19996643066406,150.39996337890625,153.43995666503906,146.86924743652344,225340,ADANIPORTS.BO
2010-09-01,155.59996032714844,156.7599639892578,153.99996948242188,155.44996643066406,148.7931671142578,219125,ADANIPORTS.BO
2010-09-02,157.39996337890625,157.59996032714844,152.01995849609375,152.48995971679688,145.95993041992188,229710,ADANIPORTS.BO
2010-09-03,153.5799560546875,154.47996520996094,152.59996032714844,153.0899658203125,146.5342559814453,101255,ADANIPORTS.BO
2010-09-06,154.24996948242188,158.79995727539062,154.01995849609375,157.7099609375,150.95639038085938,244025,ADANIPORTS.BO
2010-09-07,159.99996948242188,160.39996337890625,155.11996459960938,155.61996459960938,148.9558868408203,183620,ADANIPORTS.BO
2010-09-08,154.24996948242188,158.79995727539062,154.24996948242188,158.02996826171875,151.2626953125,182545,ADANIPORTS.BO
2010-09-09,158.59996032714844,160.3799591064453,157.0099639892578,158.10997009277344,151.3392791748047,222150,ADANIPORTS.BO
2010-09-13,152.43995666503906,160.3799591064453,152.43995666503906,159.80996704101562,152.96646118164062,293190,ADANIPORTS.BO
2010-09-14,157.99996948242188,163.7899627685547,157.99996948242188,160.5799560546875,153.70350646972656,402910,ADANIPORTS.BO
2010-09-15,160.89996337890625,162.93995666503906,160.39996337890625,161.55996704101562,154.6415557861328,212520,ADANIPORTS.BO
2010-09-16,160.99996948242188,162.79995727539062,156.8799591064453,157.60997009277344,150.86068725585938,203840,ADANIPORTS.BO
2010-09-17,158.19996643066406,166.19996643066406,158.06996154785156,164.39996337890625,157.3599090576172,795335,ADANIPORTS.BO
2010-09-20,165.99996948242188,171.17996215820312,165.99996948242188,169.56996154785156,162.30853271484375,886100,ADANIPORTS.BO
2010-09-21,169.39996337890625,171.3899688720703,166.59996032714844,168.49996948242188,161.28433227539062,501800,ADANIPORTS.BO
2010-09-22,168.99996948242188,170.17996215820312,166.21995544433594,167.3799591064453,160.21229553222656,234095,ADANIPORTS.BO
2010-09-23,170.35000610351562,171.8000030517578,163.0,165.64999389648438,158.55641174316406,356933,ADANIPORTS.BO
2010-09-24,166.85000610351562,166.85000610351562,160.0,162.75,155.78062438964844,276188,ADANIPORTS.BO
2010-09-27,164.5,168.35000610351562,163.5500030517578,166.60000610351562,159.4657440185547,148649,ADANIPORTS.BO
2010-09-28,168.89999389648438,172.39999389648438,165.14999389648438,170.60000610351562,163.29444885253906,243850,ADANIPORTS.BO
2010-09-29,173.0,173.0,167.35000610351562,168.10000610351562,160.90151977539062,176327,ADANIPORTS.BO
2010-09-30,167.5,168.3000030517578,162.5,167.0500030517578,159.896484375,223609,ADANIPORTS.BO
2010-10-01,170.0,170.0,166.10000610351562,167.5500030517578,160.37506103515625,116754,ADANIPORTS.BO
2010-10-04,169.0,170.0,166.0,166.4499969482422,159.32215881347656,135042,ADANIPORTS.BO
2010-10-05,169.0,171.39999389648438,165.3000030517578,170.10000610351562,162.8158721923828,250913,ADANIPORTS.BO
2010-10-06,172.5,181.5,171.14999389648438,179.75,172.0526580810547,911732,ADANIPORTS.BO
2010-10-07,183.0,185.25,179.1999969482422,180.89999389648438,173.1533660888672,491437,ADANIPORTS.BO
2010-10-08,182.8000030517578,183.8000030517578,180.0,181.0,173.2490997314453,248115,ADANIPORTS.BO
2010-10-11,183.0500030517578,183.4499969482422,179.75,180.60000610351562,172.8662109375,114643,ADANIPORTS.BO
2010-10-12,181.0,181.8000030517578,175.0,176.5500030517578,168.98963928222656,105420,ADANIPORTS.BO
2010-10-13,177.8000030517578,177.8000030517578,171.5,172.0500030517578,164.68235778808594,231268,ADANIPORTS.BO
2010-10-14,174.10000610351562,174.3000030517578,166.10000610351562,167.0,159.84861755371094,406431,ADANIPORTS.BO
2010-10-15,165.60000610351562,170.0,160.5,161.89999389648438,154.9669952392578,440290,ADANIPORTS.BO
2010-10-18,162.0500030517578,163.5,157.3000030517578,159.4499969482422,152.62191772460938,366147,ADANIPORTS.BO
2010-10-19,160.6999969482422,167.5,159.1999969482422,165.25,158.17355346679688,472356,ADANIPORTS.BO
2010-10-20,164.8000030517578,166.89999389648438,164.10000610351562,164.75,157.69496154785156,224733,ADANIPORTS.BO
2010-10-21,166.0,174.5,165.0,173.39999389648438,165.9745330810547,615086,ADANIPORTS.BO
2010-10-22,175.0,175.35000610351562,169.60000610351562,170.8000030517578,163.48587036132812,187253,ADANIPORTS.BO
2010-10-25,172.0,173.9499969482422,164.0,164.5,157.45565795898438,458556,ADANIPORTS.BO
